title,title_url,title1,price,star,review,details,adult_info
オリンピックイン神田,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=379016&callbackHistFlg=1,シングルからフォースまで多様な部屋タイプをご用意。,5400,4.0,2549,閲覧して頂き、誠にありがとうございます。,大人1名(税込)
ベルケンホテル・神田,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=339708&callbackHistFlg=1,全室除菌スプレー完備★便利な地下鉄・淡路町駅から徒歩1分♪♪♪,7900,4.3,229,東京、銀座、神田、御茶ノ水駅とアクセス抜群！ 地下鉄丸ノ内線「淡路町駅」A2出口から徒歩1分、JR「神田駅」北口・JR「秋葉原駅」電気街口から徒歩7分♪,大人1名(税込)
センターホテル東京,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=307547&callbackHistFlg=1,東京駅から徒歩約10分◇1階にコンビニあり◇全館禁煙,5700,3.9,31,東京駅八重洲北口より徒歩約10分。銀座・六本木・恵比寿・渋谷へも地下鉄１本。 1階ロビーよりコンビニ直結(営業時間7：00～23：00),大人1名(税込)
三井ガーデンホテル京橋,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=369008&callbackHistFlg=1,◆クチコミ総合4.5◆　東京駅より徒歩5分、京橋駅より徒歩2分。,21500,4.2,15,デザインコンセプトは“江戸の粋”を現代に昇華させる「京橋モダン」。“判じ絵”など、遊び心を効かせた江戸庶民の文化を取り入れたデザイン。,大人1名(税込)
ヴィラフォンテーヌ東京神保町｜住友不動産,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=389136&callbackHistFlg=1,神保町駅より徒歩3分◆東京ドーム・武道館のライブ利用に最適♪,9570,4.5,630,神保町駅より徒歩3分◆東京ドーム徒歩約10分／日本武道館徒歩約15分◆5路線3駅利用可能で新宿・東京駅・浅草・お台場などビジネス観光にもおすすめ◆古書店が広がる神保町には、昔ながらの粋なお店も。,大人1名(税込)
ホテル モンテ エルマーナ東京（ホテルモントレグループ）,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=356942&callbackHistFlg=1,2022年7月グランドオープン。東京駅八重洲出口より徒歩3分,22000,4.1,97,ＪＲ東京駅より徒歩３分！客室には、４３インチのスマートＴＶを導入しており、美しい高画質４Ｋ映像をお楽しみ頂ける他、キャスト機能を使って、ご自身のコンテンツを映し出すなど、快適なご滞在をお約束。,大人1名(税込)
ヴィラフォンテーヌ東京九段下｜住友不動産,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=362924&callbackHistFlg=1,九段下駅徒歩8分。神保町駅徒歩3分。客室リニューアル完了♪,8570,4.2,1257,東京ドーム・武道館が徒歩圏内。神保町駅より徒歩3分、九段下駅徒歩8分。イベント・ビジネスに便利。水道橋西通り沿い。古本屋巡り、受験生・学生にもおすすめ。,大人1名(税込)
八重洲ターミナルホテル,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=363798&callbackHistFlg=1,ＪＲ東京駅八重洲北口より徒歩３分。地下鉄日本橋駅より徒歩３分。,9000,3.9,54,ＪＲ東京駅八重洲北口より徒歩３分。地下鉄日本橋駅より徒歩３分。,大人1名(税込)
神田ステーションホテル,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=319063&callbackHistFlg=1,神田駅南口より徒歩１分。気軽に利用できる交通至便なホテル,11500,4.1,15,JR山手線・中央線・地下鉄銀座線・半蔵門線など 都心主要線の神田駅から徒歩5分圏内で、 ビジネス・レジャーの拠点に最適な好立地ホテル。,大人1名(税込)
お茶の水ホテル　昇龍館,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=393600&callbackHistFlg=1,露天風呂付き客室がある東京の隠れ家ホテル【無料朝食・大浴場有】,9900,4.2,663,◆JR、地下鉄5路線の駅まで徒歩5分の好立地 ◆露天風呂付和室、シングル、ツインなど10種類の部屋タイプ ◆地下大浴場（サウナ付） ◆大浴場の混雑状況はQRコードでチェック可 ◆日替わりの無料朝食あり,大人1名(税込)
アパホテル〈秋葉原駅前〉【2025年3月客室設備リニューアル】,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=304438&callbackHistFlg=1,2025年3月客室設備リニューアル！JR秋葉原駅昭和通り口徒歩2分！,6100,3.6,510,全館、全室Wi-Fi接続無料！東京駅・上野駅2駅5分、銀座、築地、有楽町、新橋、浜松町、品川、新宿、池袋各駅すべて乗り換えなし！アクセス抜群!！各所テーマパークへ便利です！,大人1名(税込)
オークウッドプレミア東京,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=370146&callbackHistFlg=1,東京駅に隣接するラグジュアリーなホテル＆サービスアパートメント,80634,,0,東京駅に隣接し、全室にキッチンや洗濯機等を備え『静寂な隠れ家に暮らすように泊まる』が人気の秘密です。東京の真ん中で上質な滞在空間を提供し、スタッフの心温まるおもてなしで皆様をお迎えいたします。,大人1名(税込)
からくさホテルカラーズ東京八重洲,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=333720&callbackHistFlg=1,2023年3月31日、からくさホテルカラーズ東京八重洲がオープン！,20400,4.3,21,新しく生まれ変わる八重洲。ホテル最寄り駅は、新幹線はじめ、主要鉄道網の中核となるJR東京駅。日本最大級のバスターミナルも至近で日本旅行の拠点に最適です。老舗が軒を連ねる日本橋へも徒歩圏内です。,大人1名(税込)
相鉄フレッサイン御茶ノ水神保町,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=333672&callbackHistFlg=1,お得なセール続々登場◆ドームも徒歩圏！！,9000,3.9,589,〇東京メトロ神保町駅より徒歩4分、JR御茶ノ水駅から徒歩8分と好立地♪　〇東京ドームや日本武道館まで１駅♪　〇ヘアアイロン・スチーマー貸出あり♪,大人1名(税込)
ホテルパークアベニュー,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=335024&callbackHistFlg=1,錦糸町駅徒歩5分！トラック駐車場有（2名様以上）※電話予約下さい,8300,3.9,244,【大型駐車場完備】 駐車場　普通車￥1500　トラック￥6000（長さ8メーターまで）要予約※お電話にてお問い合わせください。※トラックは2名様以上でのご予約にて承ります。 ※最終チェックイン24時,大人1名(税込)
パールホテル茅場町,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=386716&callbackHistFlg=1,茅場町駅から徒歩2分、落ち着いた雰囲気のホテルです,8360,3.7,1963,都内アクセス至便 空港行きリムジンバス発着所T-CATへは徒歩7分。 銀座、上野、渋谷、九段下、最寄りの茅場町、水天宮駅を利用すれば、 乗換いらず。 ※現在レストラン ARIOSOのディナー営業休止中。,大人1名(税込)
相鉄フレッサイン東京京橋,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=385151&callbackHistFlg=1,～東京駅から徒歩８分！～地下鉄「京橋」「宝町」駅から徒歩２分♪,11880,3.9,829,☆２０２１年３月８日全客室リニューアル☆コンビニ歩いてスグ！ビジネスや観光に最適♪ご利用シーンに合わせた各種宿泊プランをご用意。 ★キャッシュレス決済限定ホテル ※現金はご利用いただけません★,大人1名(税込)
三井ガーデンホテル大手町,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=352593&callbackHistFlg=1,大手町駅より徒歩約3分、東京駅より徒歩約10分,19600,4.0,364,Urban Oasisをコンセプトにデザインされた木や緑あふれる空間が、上質なやすらぎをお届けします。ご宿泊者専用ラウンジを設けており、コーヒー、紅茶、小菓子をご用意しております。 （15:00～22:00）,大人1名(税込)
ホテルマイステイズ神田,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=315615&callbackHistFlg=1,東京駅から1駅！秋葉原徒歩圏・出張や観光の拠点！神田へようこそ,7100,3.8,8,【JR神田駅から徒歩6分、秋葉原徒歩圏内の好アクセス】神田駅ほか新日本橋駅・岩本町駅など5駅が徒歩圏内！全室Wifi完備。シェービングやスキンケアアメニティもご用意しているので急なご宿泊でも安心★,大人1名(税込)
相鉄フレッサイン神田大手町,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=359984&callbackHistFlg=1,東京駅から一駅♪神田駅西口より徒歩３分！大手町駅も徒歩圏内♪,9720,3.7,186,東京駅から1駅の「神田駅」西口から徒歩3分と一番近いホテル。大手町へも徒歩圏内、神田西口商店街にも近く便利な立地です。都内各所、イベント会場へのアクセスも良好♪,大人1名(税込)
ホテルSUI銀座京橋 by ABEST（旧ホテルアベスト銀座京橋）,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=378075&callbackHistFlg=1,東京駅・銀座まで徒歩圏内★フリードリンク無料★,7600,,0,◆浅草線『宝町駅』A3出口より徒歩30秒★銀座線『京橋駅』1番出口より徒歩2分◆東京駅15分、銀座5分、築地市場18分！！徒歩圏内でビジネス・観光にアクセス便利♪♪,大人1名(税込)
Yotel Tokyo Ginza,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=311633&callbackHistFlg=1,【新橋駅徒歩3分】NewOpen！出張やレジャーに最適なデザインホテル,33880,,0,新橋駅3分、日本初上陸のデザインホテル。オープンしたての清潔感ある客室です。羽田空港や東京駅からアクセス抜群。駐車場あり。毎日ハッピーアワー開催中！1ドリンク注文で1ドリンクプレゼント♪,大人1名(税込)
ホテルリブマックス東京神田駅前,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=365880&callbackHistFlg=1,新日本橋駅6番出口徒歩3分　全室空気清浄機付♪,6460,3.8,170,4路線が最寄り駅で東京駅周辺や新宿副都心・千葉方面へもアクセス良好！ JR線「神田」駅東口/南口から徒歩約3分なので、近隣はコンビニ・飲食店が多数♪ ビジネス・観光・レジャーにぜひご利用下さい！,大人1名(税込)
５４ＪＯＵＲＮＥＹ東京大手町ホステル,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=351850&callbackHistFlg=1,東京駅徒歩圏！ドミトリータイプホステル！大手町駅徒歩５分,3980,,0,東京駅からタクシーで５分で移動可能、格安ホステル 東京駅から９５０ｍ、他にも神田駅４５０ｍや大手町駅５５０ｍとなっており、複数駅が利用でき、駅近で隣にはファミリーマートもございます。,大人1名(税込)
lyf銀座東京（2023/11/30 OPEN）,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=328990&callbackHistFlg=1,次世代のレジャーやビジネストラベラー向けコリビングホテル,14399,,0,銀座、日本橋、八重洲という東京有数の3つの街に囲まれ、世界的に有名な銀座のショッピングエリアへは徒歩圏内！おしゃれなコワーキングラウンジ、キッチン、コインランドリー、カフェなど施設も充実♪,大人1名(税込)
東横ＩＮＮ東京大手町,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=398668&callbackHistFlg=1,★おかえりなさいませ★清潔なお部屋をご用意、朝食無料サービス★,11550,4.1,20,★東京駅へも徒歩約15分ほどでお土産購入などの買い物も便利★ ★皇居散策おススメです！ランニングの人気スポットです★,大人1名(税込)
ＵＮＤＥＲ　ＲＡＩＬＷＡＹ　ＨＯＴＥＬ　ＡＫＩＨＡＢＡＲＡ,https://www.jalan.net/uw/uwp3000/uww3001.do?stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&rootCd=081&distCd=02&roomCrack=100000&screenId=UWW1402&yadNo=362608&callbackHistFlg=1,サブカルチャーの拠点・秋葉原電気街の喧騒を抜け心地よい隠れ家へ,25500,,0,2019年、JR高架下にオープンした大人の秘密基地。 最寄り駅徒歩３分の好立地で観光もビジネスも快適に。 周辺には秋葉原のエンタメが満載。 ※全客室で電車の走行音が聞こえます。予めご了承ください。,大人1名(税込)
Ｈｏｔａｋｕ　ＨＯＴＥＬ,https://www.jalan.net/uw/uwp3000/uww3001.do?rootCd=081&distCd=02&roomCrack=100000&stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&screenId=UWW1402&yadNo=374753&callbackHistFlg=1,ゆったりとくつろげる広々とした空間をお客様に！,9800,,0,Hotakuならではの新感覚の宿泊体験をしてみませんか？ 広々としたお部屋（16㎡～26㎡）！全室バス・トイレ別の快適な空間です♪♪,大人1名(税込)
ナインアワーズウーマン神田,https://www.jalan.net/uw/uwp3000/uww3001.do?rootCd=081&distCd=02&roomCrack=100000&stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&screenId=UWW1402&yadNo=300913&callbackHistFlg=1,神田駅東口1分、女性専用フロア,4714,3.7,294,東京至近、高速WiFi、１4時チェックインでビジネス・観光の拠点に！,大人1名(税込)
相鉄フレッサイン東京神田,https://www.jalan.net/uw/uwp3000/uww3001.do?rootCd=081&distCd=02&roomCrack=100000&stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&screenId=UWW1402&yadNo=385628&callbackHistFlg=1,体感！全室浄水のやさしいお水と静かなお部屋♪インスタ始めました,9720,3.7,225,◎駅前から少し離れた閑静な立地　　 ◎大通り沿いで安心　　　　　　　　 ◎コンビニ隣接で便利　　　　　　　 ◎デザイナーズホテル,大人1名(税込)
ホテルリブマックス東京神田ＥＡＳＴ,https://www.jalan.net/uw/uwp3000/uww3001.do?rootCd=081&distCd=02&roomCrack=100000&stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&screenId=UWW1402&yadNo=336393&callbackHistFlg=1,神田駅東口徒歩5分！,5220,3.4,175,"【期間限定！デリバリーアプリmenu総額2,400円分クーポンを初回限定で配布中】秋葉原まで徒歩圏内！浅草・渋谷・新宿にも乗換無し♪加湿機能付空気清浄機導入♪充実のルームアイテム採用！！",大人1名(税込)
からくさホテル　ＴＯＫＹＯ　ＳＴＡＴＩＯＮ,https://www.jalan.net/uw/uwp3000/uww3001.do?rootCd=081&distCd=02&roomCrack=100000&stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&screenId=UWW1402&yadNo=340088&callbackHistFlg=1,JR東京駅から約5分の好立地ホテル,28900,3.5,106,新幹線をはじめ全国の主要鉄道網の中核となるJR東京駅から約5分の好立地。各バスターミナルにも近く、旅の拠点に大変便利なロケーションです。緑あふれる皇居や老舗が軒を連ねる日本橋も徒歩圏内です。,大人1名(税込)
ヴィラフォンテーヌ東京大手町｜住友不動産,https://www.jalan.net/uw/uwp3000/uww3001.do?rootCd=081&distCd=02&roomCrack=100000&stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&screenId=UWW1402&yadNo=365524&callbackHistFlg=1,JR神田駅徒歩5分・大手町駅徒歩6分◆最上階45㎡客室リニューアル◆,10100,3.0,695,JR神田駅徒歩5分、東京メトロ大手町駅徒歩6分。東京駅までも徒歩圏内。2023年4月～パン・コーヒー・スープ・サラダの新朝食スタート。最上階客室2023年リニューアル◆綺麗なお部屋で癒しの時間を。,大人1名(税込)
サクラホテル神保町,https://www.jalan.net/uw/uwp3000/uww3001.do?rootCd=081&distCd=02&roomCrack=100000&stayYear=2025&stayMonth=7&stayDay=13&stayCount=1&roomCount=1&adultNum=1&screenId=UWW1402&yadNo=324447&callbackHistFlg=1,バックパッカー集う国際色豊かでアットホームな宿！,3420,2.3,103,世界有数の書店街、神保町にあるホテル。 東京ドーム（15分）や武道館（10分）も徒歩圏内。東京駅、新宿、渋谷、浅草、秋葉原すべて電車で15分ほどで到着可能。東京の中心地にあるホテルです。,大人1名(税込)
